名称,分类,地区,百度百科链接,新官方链接,链接类型,备注
故宫,世界遗产,国内-北京,https://whc.unesco.org/zh/list/439,UNESCO官网,中国世界遗产UNESCO官方页面,
秦始皇陵及兵马俑,世界遗产,国内-陕西,https://whc.unesco.org/zh/list/441,UNESCO官网,中国世界遗产UNESCO官方页面,
天坛,世界遗产,国内-北京,https://whc.unesco.org/zh/list/881,UNESCO官网,中国世界遗产UNESCO官方页面,
承德避暑山庄,世界遗产,国内-河北,https://whc.unesco.org/zh/list/703,UNESCO官网,中国世界遗产UNESCO官方页面,
孔庙、孔林、孔府,世界遗产,国内-山东,https://whc.unesco.org/zh/list/704,UNESCO官网,中国世界遗产UNESCO官方页面,
丽江古城,世界遗产,国内-云南,https://whc.unesco.org/zh/list/811,UNESCO官网,中国世界遗产UNESCO官方页面,
平遥古城,世界遗产,国内-山西,https://whc.unesco.org/zh/list/812,UNESCO官网,中国世界遗产UNESCO官方页面,
布达拉宫,世界遗产,国内-西藏,https://whc.unesco.org/zh/list/707,UNESCO官网,中国世界遗产UNESCO官方页面,
澳门历史城区,世界遗产,国内-澳门,https://whc.unesco.org/zh/list/1110,UNESCO官网,中国世界遗产UNESCO官方页面,
皖南古村落,世界遗产,国内-安徽,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
登封天地之中历史建筑群,世界遗产,国内-河南,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
杭州西湖文化景观,世界遗产,国内-浙江,https://whc.unesco.org/zh/list/1334,UNESCO官网,中国世界遗产UNESCO官方页面,
元上都遗址,世界遗产,国内-内蒙古,https://whc.unesco.org/zh/list/1389,UNESCO官网,中国世界遗产UNESCO官方页面,
红河哈尼梯田,世界遗产,国内-云南,https://whc.unesco.org/zh/list/1111,UNESCO官网,中国世界遗产UNESCO官方页面,
中国大运河,世界遗产,国内-北京,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
丝绸之路,世界遗产,国内-陕西,https://whc.unesco.org/zh/list/1442,UNESCO官网,中国世界遗产UNESCO官方页面,
土司遗址,世界遗产,国内-湖南,https://whc.unesco.org/zh/list/1474,UNESCO官网,中国世界遗产UNESCO官方页面,
鼓浪屿历史国际社区,世界遗产,国内-福建,https://whc.unesco.org/zh/list/1541,UNESCO官网,中国世界遗产UNESCO官方页面,
良渚古城遗址,世界遗产,国内-浙江,https://whc.unesco.org/zh/list/1592,UNESCO官网,中国世界遗产UNESCO官方页面,
泉州宋元海洋商贸中心,世界遗产,国内-福建,https://whc.unesco.org/zh/list/1665,UNESCO官网,中国世界遗产UNESCO官方页面,
四川大熊猫栖息地,世界遗产,国内-四川,https://whc.unesco.org/zh/list/1213,UNESCO官网,中国世界遗产UNESCO官方页面,
中国南方喀斯特,世界遗产,国内-贵州,https://whc.unesco.org/zh/list/1248,UNESCO官网,中国世界遗产UNESCO官方页面,
三清山国家公园,世界遗产,国内-江西,https://whc.unesco.org/zh/list/1292,UNESCO官网,中国世界遗产UNESCO官方页面,
中国丹霞,世界遗产,国内-广东,https://whc.unesco.org/zh/list/1335,UNESCO官网,中国世界遗产UNESCO官方页面,
梵净山,世界遗产,国内-贵州,https://whc.unesco.org/zh/list/1561,UNESCO官网,中国世界遗产UNESCO官方页面,
中国黄海候鸟栖息地,世界遗产,国内-江苏,https://whc.unesco.org/zh/list/1606,UNESCO官网,中国世界遗产UNESCO官方页面,
可可西里,世界遗产,国内-青海,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
神农架,世界遗产,国内-湖北,https://whc.unesco.org/zh/list/1540,UNESCO官网,中国世界遗产UNESCO官方页面,
黄龙,世界遗产,国内-四川,https://whc.unesco.org/zh/list/638,UNESCO官网,中国世界遗产UNESCO官方页面,
九寨沟,世界遗产,国内-四川,https://whc.unesco.org/zh/list/637,UNESCO官网,中国世界遗产UNESCO官方页面,
武隆喀斯特,世界遗产,国内-重庆,https://whc.unesco.org/zh/list/640,UNESCO官网,中国世界遗产UNESCO官方页面,
三江并流,世界遗产,国内-云南,https://whc.unesco.org/zh/list/1083,UNESCO官网,中国世界遗产UNESCO官方页面,
丹霞山,世界遗产,国内-广东,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
天山,世界遗产,国内-新疆,https://whc.unesco.org/zh/list,UNESCO官网(总览),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
峨眉山-乐山大佛,世界遗产,国内-四川,https://whc.unesco.org/zh/list/779,UNESCO官网,中国世界遗产UNESCO官方页面,
青城山-都江堰,世界遗产,国内-四川,https://whc.unesco.org/zh/list/1003,UNESCO官网,中国世界遗产UNESCO官方页面,
庐山,世界遗产,国内-江西,https://whc.unesco.org/zh/list/778,UNESCO官网,中国世界遗产UNESCO官方页面,
罗马斗兽场,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
罗马历史中心,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
威尼斯及泻湖,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
佛罗伦萨历史中心,世界遗产,国际-意大利,https://whc.unesco.org/zh/statesparties/it,UNESCO官网(意大利),国际世界遗产，链接至UNESCO国家列表页，可在页面内搜索具体遗产,
