名称,地区,网址
国家文物局,北京,http://www.ncha.gov.cn/
中华人民共和国文化和旅游部,北京,https://www.mct.gov.cn/
北京市文化和旅游局,北京,http://whlyj.beijing.gov.cn
北京市文物局,北京,http://wwj.beijing.gov.cn
天津市文化和旅游局,天津,http://whgbys.tj.gov.cn
天津市文物局,天津,http://www.tjwh.gov.cn/
上海市文化和旅游局,上海,http://whlyj.sh.gov.cn
上海市文物局,上海,http://whlyj.sh.gov.cn
重庆市文化和旅游发展委员会,重庆,http://whlyw.cq.gov.cn
重庆市文物局,重庆,http://whlyw.cq.gov.cn
河北省文化和旅游厅,河北,http://whly.hebei.gov.cn
河北省文物局,河北,http://wwj.hebei.gov.cn
山西省文化和旅游厅,山西,http://wlt.shanxi.gov.cn
山西省文物局,山西,http://wwj.shanxi.gov.cn
内蒙古自治区文化和旅游厅,内蒙古,http://wlt.nmg.gov.cn
内蒙古自治区文物局,内蒙古,http://wwj.nmg.gov.cn
辽宁省文化和旅游厅,辽宁,http://whly.ln.gov.cn
辽宁省文物局,辽宁,http://wwj.ln.gov.cn
吉林省文化和旅游厅,吉林,http://wht.jl.gov.cn
吉林省文物局,吉林,http://wwj.jl.gov.cn
黑龙江省文化和旅游厅,黑龙江,http://www.hljtour.gov.cn
黑龙江省文物局,黑龙江,http://wwj.hlj.gov.cn
江苏省文化和旅游厅,江苏,http://wlt.jiangsu.gov.cn
江苏省文物局,江苏,http://wwj.jiangsu.gov.cn
浙江省文化和旅游厅,浙江,http://www.tourzj.gov.cn
浙江省文物局,浙江,http://wwj.zj.gov.cn
安徽省文化和旅游厅,安徽,https://ct.ah.gov.cn
安徽省文物局,安徽,https://ct.ah.gov.cn
福建省文化和旅游厅,福建,http://wlt.fujian.gov.cn
福建省文物局,福建,http://wlt.fujian.gov.cn
江西省文化和旅游厅,江西,http://dct.jiangxi.gov.cn
江西省文物局,江西,http://wwj.jiangxi.gov.cn
山东省文化和旅游厅,山东,http://www.sdta.gov.cn
山东省文物局,山东,http://wwj.shandong.gov.cn
河南省文化和旅游厅,河南,http://www.hnta.cn/gov
河南省文物局,河南,https://wwj.henan.gov.cn
湖北省文化和旅游厅,湖北,http://wlt.hubei.gov.cn
湖北省文物局,湖北,http://wwj.hubei.gov.cn
湖南省文化和旅游厅,湖南,http://www.hnt.gov.cn
湖南省文物局,湖南,http://wwj.hunan.gov.cn
广东省文化和旅游厅,广东,http://www.gdwht.gov.cn
广东省文物局,广东,http://wwj.gd.gov.cn
广西壮族自治区文化和旅游厅,广西,http://www.gxta.gov.cn
广西壮族自治区文物局,广西,http://wwj.gxzf.gov.cn
海南省旅游和文化广电体育厅,海南,http://tourism.hainan.gov.cn
海南省文物局,海南,http://tourism.hainan.gov.cn
四川省文化和旅游厅,四川,http://wlt.sc.gov.cn
四川省文物局,四川,http://wwj.sc.gov.cn
贵州省文化和旅游厅,贵州,http://whhly.guizhou.gov.cn
贵州省文物局,贵州,http://wwj.guizhou.gov.cn
云南省文化和旅游厅,云南,http://www.ynta.gov.cn
云南省文物局,云南,http://wwj.yn.gov.cn
西藏自治区旅游发展厅,西藏,http://www.xzta.gov.cn
西藏自治区文物局,西藏,http://wwj.xizang.gov.cn
陕西省文化和旅游厅,陕西,http://whhlyt.shaanxi.gov.cn
陕西省文物局,陕西,http://wwj.shaanxi.gov.cn
甘肃省文化和旅游厅,甘肃,http://wlt.gansu.gov.cn
甘肃省文物局,甘肃,http://wwj.gansu.gov.cn
青海省文化和旅游厅,青海,http://whlyt.qinghai.gov.cn
青海省文物局,青海,http://wwj.qinghai.gov.cn
宁夏回族自治区文化和旅游厅,宁夏,http://whhlyt.nx.gov.cn/
宁夏回族自治区文物局,宁夏,http://wwj.nx.gov.cn/
新疆维吾尔自治区文化和旅游厅,新疆,http://zw.xinjiangtour.gov.cn
新疆维吾尔自治区文物局,新疆,http://wwj.xinjiang.gov.cn
