名称,分类,地区,原来源,新来源,原网址,备注
张家口市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
廊坊市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
衡水市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
邢台市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
秦皇岛市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
唐山市文化广电和旅游局,政府机构,国内-河北,待核实,政府官网,http://whly.hebei.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
太原市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
大同市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
运城市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
晋中市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
长治市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
晋城市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
忻州市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
临汾市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
吕梁市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
朔州市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
阳泉市文物局,政府机构,国内-山西,待核实,政府官网,http://wwj.shanxi.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
长春市文化广播电视和旅游局,政府机构,国内-吉林,待核实,政府官网,http://wht.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
吉林市文化广播电视和旅游局,政府机构,国内-吉林,待核实,政府官网,http://wht.jl.gov.cn,域名归属政府(.gov/.gov.cn)，确认为政府机构官方来源
