名称,原链接,新链接
长城,https://baike.baidu.com/item/长城,http://whc.unesco.org/en/list/438
故宫（北京故宫）,https://baike.baidu.com/item/故宫,https://www.dpm.org.cn
秦始皇陵及兵马俑坑,https://baike.baidu.com/item/秦始皇陵,http://www.bmy.com.cn
莫高窟,https://baike.baidu.com/item/莫高窟,https://www.e-dunhuang.com
周口店北京人遗址,https://baike.baidu.com/item/周口店北京人遗址,http://whc.unesco.org/en/list/449
龙门石窟,https://baike.baidu.com/item/龙门石窟,http://whc.unesco.org/en/list/1003
云冈石窟,https://baike.baidu.com/item/云冈石窟,http://whc.unesco.org/en/list/1039
大足石刻,https://baike.baidu.com/item/大足石刻,http://whc.unesco.org/en/list/912
苏州古典园林,https://baike.baidu.com/item/苏州古典园林,http://whc.unesco.org/en/list/813
颐和园,https://baike.baidu.com/item/颐和园,http://whc.unesco.org/en/list/880
殷墟,https://baike.baidu.com/item/殷墟,http://whc.unesco.org/en/list/1114
泰山,https://baike.baidu.com/item/泰山,http://whc.unesco.org/en/list/437
黄山,https://baike.baidu.com/item/黄山,http://whc.unesco.org/en/list/547
峨眉山—乐山大佛,https://baike.baidu.com/item/峨眉山,http://whc.unesco.org/en/list/779
武夷山,https://baike.baidu.com/item/武夷山,http://whc.unesco.org/en/list/911
故宫博物院,https://baike.baidu.com/item/故宫博物院,https://www.dpm.org.cn
中国国家博物馆,https://baike.baidu.com/item/中国国家博物馆,https://www.chnmuseum.cn
上海博物馆,https://baike.baidu.com/item/上海博物馆,https://www.shanghaimuseum.net
南京博物院,https://baike.baidu.com/item/南京博物院,http://www.njmuseum.com
陕西历史博物馆,https://baike.baidu.com/item/陕西历史博物馆,http://www.sxhm.com
秦始皇帝陵博物院,https://baike.baidu.com/item/秦始皇帝陵博物院,http://www.bmy.com.cn
湖南省博物馆,https://baike.baidu.com/item/湖南省博物馆,http://www.hnmuseum.com
浙江省博物馆,https://baike.baidu.com/item/浙江省博物馆,https://www.zjmuex.com
三星堆博物馆,https://baike.baidu.com/item/三星堆博物馆,http://www.sxd.cn
敦煌研究院,https://baike.baidu.com/item/敦煌研究院,https://www.dha.ac.cn
中国文化遗产研究院,https://baike.baidu.com/item/中国文化遗产研究院,http://www.cach.org.cn
中国艺术研究院,https://baike.baidu.com/item/中国艺术研究院,http://www.zgysyjy.org.cn
国家文物局,https://baike.baidu.com/item/国家文物局,http://www.ncha.gov.cn
文化和旅游部,https://baike.baidu.com/item/文化和旅游部,https://www.mct.gov.cn
中国非物质文化遗产网,https://baike.baidu.com/item/中国非物质文化遗产网,http://www.ihchina.cn
数字敦煌,https://baike.baidu.com/item/数字敦煌,https://www.e-dunhuang.com
全景故宫,https://baike.baidu.com/item/全景故宫,https://www.dpm.org.cn
苏州博物馆,https://baike.baidu.com/item/苏州博物馆,https://www.szmuseum.com
中国工艺美术馆,https://baike.baidu.com/item/中国工艺美术馆,https://www.gmfyg.org.cn
中国国家图书馆,https://baike.baidu.com/item/中国国家图书馆,http://www.nlc.cn
龙门石窟研究院,https://baike.baidu.com/item/龙门石窟研究院,http://www.lmsk.gov.cn
云冈石窟研究院,https://baike.baidu.com/item/云冈石窟研究院,http://www.yungang.org.cn
大足石刻研究院,https://baike.baidu.com/item/大足石刻研究院,http://www.dazukshi.gov.cn
